CMH_HEIST_1_STEM_1_LEFT,0x1DE46586
CMH_HEIST_1_STEM_1_RIGHT,0x0C15A9E4
CMH_HEIST_1_STEM_2_LEFT,0x00321BA7
CMH_HEIST_1_STEM_2_RIGHT,0x1F347184
CMH_HEIST_1_STEM_3_LEFT,0x19DB8FFA
CMH_HEIST_1_STEM_3_RIGHT,0x1628633F
CMH_HEIST_1_STEM_4_LEFT,0x174A4E3C
CMH_HEIST_1_STEM_4_RIGHT,0x1159A768
CMH_HEIST_1_STEM_5_LEFT,0x15FAE7F5
CMH_HEIST_1_STEM_5_RIGHT,0x1FBFAF24
CMH_HEIST_1_STEM_6_LEFT,0x080495CB
CMH_HEIST_1_STEM_6_RIGHT,0x051C1383
CMH_HEIST_1_STEM_7_LEFT,0x08E72716
CMH_HEIST_1_STEM_7_RIGHT,0x03EA0454
CMH_HEIST_1_STEM_8_LEFT,0x024525FE
CMH_HEIST_1_STEM_8_RIGHT,0x180AE276
CMH_HEIST_2_STEM_1_LEFT,0x182662BD
CMH_HEIST_2_STEM_1_RIGHT,0x19370648
CMH_HEIST_2_STEM_2_LEFT,0x1C44F80F
CMH_HEIST_2_STEM_2_RIGHT,0x10D530DF
CMH_HEIST_2_STEM_3_LEFT,0x0915A96E
CMH_HEIST_2_STEM_3_RIGHT,0x073F510E
CMH_HEIST_2_STEM_4_LEFT,0x1688CBB2
CMH_HEIST_2_STEM_4_RIGHT,0x189E66C7
CMH_HEIST_2_STEM_5_LEFT,0x1BFE579D
CMH_HEIST_2_STEM_5_RIGHT,0x1027251D
CMH_HEIST_2_STEM_6_LEFT,0x103CC222
CMH_HEIST_2_STEM_6_RIGHT,0x17F895C1
CMH_HEIST_2_STEM_7_LEFT,0x1F67A14F
CMH_HEIST_2_STEM_7_RIGHT,0x1B7F6F6D
CMH_HEIST_2_STEM_8_LEFT,0x0101D1F8
CMH_HEIST_2_STEM_8_RIGHT,0x1BB186CC
CMH_HEIST_3_STEM_1_LEFT,0x1437EE79
CMH_HEIST_3_STEM_1_RIGHT,0x1EF3BD93
CMH_HEIST_3_STEM_2_LEFT,0x026B129A
CMH_HEIST_3_STEM_2_RIGHT,0x1691A482
CMH_HEIST_3_STEM_3_LEFT,0x0DB77C7A
CMH_HEIST_3_STEM_3_RIGHT,0x0A6EFF68
CMH_HEIST_3_STEM_4_LEFT,0x05EBEABB
CMH_HEIST_3_STEM_4_RIGHT,0x0BFDB462
CMH_HEIST_3_STEM_5_LEFT,0x10C04C35
CMH_HEIST_3_STEM_5_RIGHT,0x196340E4
CMH_HEIST_3_STEM_6_LEFT,0x05F94A38
CMH_HEIST_3_STEM_6_RIGHT,0x0E0075CA
CMH_HEIST_3_STEM_7_LEFT,0x139E3807
CMH_HEIST_3_STEM_7_RIGHT,0x060560D2
CMH_HEIST_3_STEM_8_LEFT,0x1587CD40
CMH_HEIST_3_STEM_8_RIGHT,0x1D775C54
CMH_HEIST_1_ALT_PREP1_STEM_8_LEFT,0x027DD852
CMH_HEIST_1_ALT_PREP1_STEM_8_RIGHT,0x12BB48B9
CMH_HEIST_1_ALT_PREP1_STEM_1_LEFT,0x0C1744A7
CMH_HEIST_1_ALT_PREP1_STEM_1_RIGHT,0x0C91DF3A
CMH_HEIST_1_ALT_PREP1_STEM_2_LEFT,0x054E1429
CMH_HEIST_1_ALT_PREP1_STEM_2_RIGHT,0x1FACB5B5
CMH_HEIST_1_ALT_PREP1_STEM_3_LEFT,0x07D4F27C
CMH_HEIST_1_ALT_PREP1_STEM_3_RIGHT,0x14B75B69
CMH_HEIST_1_ALT_PREP1_STEM_4_LEFT,0x087FF7C6
CMH_HEIST_1_ALT_PREP1_STEM_4_RIGHT,0x0896518E
CMH_HEIST_1_ALT_PREP1_STEM_5_LEFT,0x002A01E7
CMH_HEIST_1_ALT_PREP1_STEM_5_RIGHT,0x06F719A6
CMH_HEIST_1_ALT_PREP1_STEM_6_LEFT,0x185000AA
CMH_HEIST_1_ALT_PREP1_STEM_6_RIGHT,0x11BBC345
CMH_HEIST_1_ALT_PREP1_STEM_7_LEFT,0x0D044D2A
CMH_HEIST_1_ALT_PREP1_STEM_7_RIGHT,0x18E5CB21
CMH_HEIST_1_ALT_PREP2_STEM_1_LEFT,0x0B561910
CMH_HEIST_1_ALT_PREP2_STEM_1_RIGHT,0x18FE3092
CMH_HEIST_1_ALT_PREP2_STEM_2_LEFT,0x0A6397A1
CMH_HEIST_1_ALT_PREP2_STEM_2_RIGHT,0x1F06472E
CMH_HEIST_1_ALT_PREP2_STEM_3_LEFT,0x18757F49
CMH_HEIST_1_ALT_PREP2_STEM_3_RIGHT,0x12ED8D98
CMH_HEIST_1_ALT_PREP2_STEM_4_LEFT,0x067FA521
CMH_HEIST_1_ALT_PREP2_STEM_4_RIGHT,0x0ADF1505
CMH_HEIST_1_ALT_PREP2_STEM_5_LEFT,0x07BBD121
CMH_HEIST_1_ALT_PREP2_STEM_5_RIGHT,0x1B1BE05D
CMH_HEIST_1_ALT_PREP2_STEM_6_LEFT,0x0400D001
CMH_HEIST_1_ALT_PREP2_STEM_6_RIGHT,0x0D9E14B4
CMH_HEIST_1_ALT_PREP2_STEM_7_LEFT,0x048FD7DE
CMH_HEIST_1_ALT_PREP2_STEM_7_RIGHT,0x017529C6
CMH_HEIST_1_ALT_PREP2_STEM_8_LEFT,0x19B604E5
CMH_HEIST_1_ALT_PREP2_STEM_8_RIGHT,0x16D5636C
CMH_HEIST_2_ALT_PREP1_2_LEFT,0x11DA9CD6
CMH_HEIST_2_ALT_PREP1_2_RIGHT,0x19F988DE
CMH_HEIST_2_ALT_PREP1_1_LEFT,0x0B32B903
CMH_HEIST_2_ALT_PREP1_1_RIGHT,0x0998BABC
CMH_HEIST_2_ALT_PREP1_8_LEFT,0x0CDE7429
CMH_HEIST_2_ALT_PREP1_8_RIGHT,0x0C88C9DE
CMH_HEIST_2_ALT_PREP1_3_LEFT,0x1AE5DB11
CMH_HEIST_2_ALT_PREP1_3_RIGHT,0x16566515
CMH_HEIST_2_ALT_PREP1_4_LEFT,0x118CE4F9
CMH_HEIST_2_ALT_PREP1_4_RIGHT,0x09C9EA5E
CMH_HEIST_2_ALT_PREP1_5_LEFT,0x0D0026D3
CMH_HEIST_2_ALT_PREP1_5_RIGHT,0x061BA4A1
CMH_HEIST_2_ALT_PREP1_6_LEFT,0x0031D89A
CMH_HEIST_2_ALT_PREP1_6_RIGHT,0x1B81B3CC
CMH_HEIST_2_ALT_PREP1_7_LEFT,0x040C55F0
CMH_HEIST_2_ALT_PREP1_7_RIGHT,0x0F01D181
CMH_HEIST_2_ALT_PREP2_2_LEFT,0x11674575
CMH_HEIST_2_ALT_PREP2_2_RIGHT,0x1D97EFEC
CMH_HEIST_2_ALT_PREP2_1_LEFT,0x15C67C2C
CMH_HEIST_2_ALT_PREP2_1_RIGHT,0x04E7DA3E
CMH_HEIST_2_ALT_PREP2_8_LEFT,0x125D1A4C
CMH_HEIST_2_ALT_PREP2_8_RIGHT,0x071557B3
CMH_HEIST_2_ALT_PREP2_3_LEFT,0x1615DC6C
CMH_HEIST_2_ALT_PREP2_3_RIGHT,0x0E704B35
CMH_HEIST_2_ALT_PREP2_4_LEFT,0x05C2E540
CMH_HEIST_2_ALT_PREP2_4_RIGHT,0x0BED6348
CMH_HEIST_2_ALT_PREP2_5_LEFT,0x070E5BE1
